ds,y
19-Apr-2017,5063523.99
20-Apr-2017,4492486.36
21-Apr-2017,5580573.95
22-Apr-2017,5784705.30
23-Apr-2017,4698403.83
24-Apr-2017,3835061.93
25-Apr-2017,4241410.71
26-Apr-2017,5658080.27
27-Apr-2017,5087197.36
28-Apr-2017,6539831.69
29-Apr-2017,7016207.77
30-Apr-2017,5731395.12
1-May-2017,4969752.43
2-May-2017,5673017.16
3-May-2017,4354991.12
4-May-2017,4310037.86
5-May-2017,4873626.51
6-May-2017,4962695.08
7-May-2017,3821984.11
8-May-2017,3624196.58
9-May-2017,3791499.34
10-May-2017,4542162.63
11-May-2017,4512334.35
12-May-2017,6269966.49
13-May-2017,7016007.45
14-May-2017,4666942.64
15-May-2017,4050344.82
16-May-2017,4353411.59
17-May-2017,5073469.10
18-May-2017,4526617.32
19-May-2017,5220630.27
20-May-2017,5610129.60
21-May-2017,4240437.19
22-May-2017,3759278.86
23-May-2017,3982963.91
24-May-2017,5714952.32
25-May-2017,5597778.50
26-May-2017,6494865.66
27-May-2017,6247193.44
28-May-2017,5043562.51
29-May-2017,4361345.26
30-May-2017,4318025.07
31-May-2017,4747935.25
1-Jun-2017,4604610.33
2-Jun-2017,5126734.81
3-Jun-2017,5164241.40
